name,phone
Abebe Kebede,0911111111
Selam Tesfaye,0922222222
John Doe,0933333333
Eden Alemayehu,0941234567
Dawit Girma,
Meron Assefa,0912345678
Yonas Tadesse,
Betelhem Moges,0923456789
Kedir Jemal,0938765432
Hana Girma,
Tewodros Bekele,0919876543
Sara Mohammed,
Habtamu Wolde,0945678901
Liya Getachew,
Natan Abera,0928765432
Ruth Samuel,
Samuel Fikadu,0913456789
Blen Tsegaye,
Kidus Lakew,0931239876
Eyerusalem Birhanu,
Rediet Negash,0942345678
Mikias Demissie,
Fikir Worku,
Tsion Mengistu,0921112233
Yohannes Hailu,0919988776
Almaz Yimer,
Tesfaye Dejene,0935544332
Zewditu Gebremariam,
Getnet Birru,0946677889
Wubshet Lemma,
Aster Tamiru,0912233445
Bereket Solomon,
Frehiwot Asfaw,0927788990
Tigist Endale,
Mesfin Kebede,0931122334
Senait Haile,
Elias Mulugeta,0949988776
Lidiya Bekele,
Girma Tadesse,0916677889
Woynishet Alemu,
Daniel Yohannes,0923344556
Hiwot Teshome,
Addisalem Moges,0938899001
Meselech Deriba,
Tadesse Gizaw,0945566778
Roman Girma,
Beza Admassu,0912233009
Yeabsira Kebede,
Selamawit Alem,0929900112
Nebiyu Hailemariam,
Emebet Wolde,0937788990
Tsinat Getnet,
Yared Assefa,0941122334
Genet Birhan,
Dawit Mekonnen,0914455667
Sisay Endris,
Hirut Lemma,0923344001
Brook Fikremariam,
Kidist Tadesse,0938899112
Amanuel Gebeyehu,
Tiruwork Asfaw,0946677009
Meskerem Kebede,
Biniyam Solomon,0919900223
Etenesh Haile,
Zelalem Moges,0921122334
Wossen Teferra,
Esubalew Bekele,0934455667
Tirufelegn Girma,
Selam Teshome,0947788990
Yohana Alemu,
Tsehay Yohannes,0912233445
Mekdes Tesfaye,0925566778
Abeba Mengistu,
Getahun Hailu,0938899001
Fikadu Yimer,
Aster Dejene,0941122334
Teshome Gebremariam,
Wubalem Birru,0914455667
Solomon Lemma,
Emebet Tamiru,0927788990
Bereket Asfaw,
Frehiwot Endale,0931122334
Tigist Hailemariam,
Mesfin Wolde,0945566778
Senait Getnet,
Elias Birhan,0918899001
Lidiya Mekonnen,
Girma Endris,0922233445
Woynishet Lemma,
Daniel Fikremariam,0935566778
Hiwot Gebeyehu,
Addisalem Teferra,0948899001
Meselech Bekele,
Tadesse Girma,0911122334
Roman Teshome,
Beza Alemu,0924455667
Yeabsira Yohannes,
Selamawit Tesfaye,0937788990
Nebiyu Mengistu,
Emebet Hailu,0941122334
Tsinat Yimer,
Yared Dejene,0914455667
Genet Gebremariam,
Dawit Birru,0927788990
Sisay Lemma,
Hirut Tamiru,0931122334
Brook Asfaw,
Kidist Endale,0945566778
Amanuel Hailemariam,
Tiruwork Wolde,0918899001
Meskerem Getnet,
Biniyam Birhan,0922233445
Etenesh Mekonnen,
Zelalem Endris,0935566778
Wossen Fikremariam,
Esubalew Gebeyehu,0948899001
Tirufelegn Teferra,
Selam Bekele,0911122334
Yohana Girma,
Tsehay Teshome,0924455667
Mekdes Alemu,
Abeba Yohannes,0937788990
Getahun Tesfaye,
Fikadu Mengistu,0941122334
Aster Hailu,
Teshome Yimer,0914455667
Wubalem Dejene,
Solomon Gebremariam,0927788990
Emebet Birru,
Bereket Lemma,0931122334
Frehiwot Tamiru,
Tigist Asfaw,0945566778
